theta max(rad),theta settling time(s),x final value(m),x settling time(s),l final value(m),l settling time(s),lambda 1,k,lambda 2,alpha 1
0.00461,71.04,4.881,-0.01,1.12,-0.01,0.05,0.05,0.05,0.5
0.00557,65.05,4.995,72.96,1.119,-0.01,0.1,0.05,0.05,0.5
0.00512,65.03,4.999,61.06,1.118,-0.01,0.15,0.05,0.05,0.5
0.00398,68.03,5.0,60.33,1.119,-0.01,0.2,0.05,0.05,0.5
0.00416,74.34,5.0,64.62,1.118,-0.01,0.25,0.05,0.05,0.5
0.00401,80.0,4.999,70.88,1.119,-0.01,0.3,0.05,0.05,0.5
0.00393,79.24,4.994,78.41,1.119,-0.01,0.35,0.05,0.05,0.5
0.0033,56.92,4.843,-0.01,1.118,-0.01,0.4,0.05,0.05,0.5
0.00317,57.03,4.32,-0.01,1.118,-0.01,0.45,0.05,0.05,0.5
0.00305,57.12,3.9,-0.01,1.118,-0.01,0.5,0.05,0.05,0.5
0.00294,57.19,3.553,-0.01,1.12,-0.01,0.55,0.05,0.05,0.5
0.00284,58.29,3.264,-0.01,1.12,-0.01,0.6,0.05,0.05,0.5
0.00274,58.39,3.017,-0.01,1.119,-0.01,0.65,0.05,0.05,0.5
0.00265,58.47,2.806,-0.01,1.119,-0.01,0.7,0.05,0.05,0.5
0.00256,59.58,2.622,-0.01,1.119,-0.01,0.75,0.05,0.05,0.5
0.00248,59.67,2.461,-0.01,1.119,-0.01,0.8,0.05,0.05,0.5
0.0024,60.75,2.318,-0.01,1.119,-0.01,0.85,0.05,0.05,0.5
0.00233,60.87,2.191,-0.01,1.119,-0.01,0.9,0.05,0.05,0.5
0.00226,60.95,2.077,-0.01,1.119,-0.01,0.95,0.05,0.05,0.5
0.0022,62.08,1.975,-0.01,1.119,-0.01,1.0,0.05,0.05,0.5
0.00923,67.58,4.897,-0.01,1.103,-0.01,0.05,0.1,0.05,0.5
0.00874,60.87,4.996,68.23,1.106,-0.01,0.1,0.1,0.05,0.5
0.01116,63.38,5.0,49.91,1.106,-0.01,0.15,0.1,0.05,0.5
0.0094,61.75,5.001,43.55,1.103,-0.01,0.2,0.1,0.05,0.5
0.00785,63.12,5.0,42.35,1.105,-0.01,0.25,0.1,0.05,0.5
0.00798,65.22,5.0,43.08,1.104,-0.01,0.3,0.1,0.05,0.5
0.00871,68.22,5.0,45.25,1.106,-0.01,0.35,0.1,0.05,0.5
0.00764,71.0,5.0,48.58,1.104,-0.01,0.4,0.1,0.05,0.5
0.00724,73.11,5.0,51.91,1.103,-0.01,0.45,0.1,0.05,0.5
0.00718,77.34,5.0,55.87,1.102,-0.01,0.5,0.1,0.05,0.5
0.00714,79.84,5.0,60.02,1.106,-0.01,0.55,0.1,0.05,0.5
0.00708,79.51,5.0,64.18,1.105,-0.01,0.6,0.1,0.05,0.5
0.00698,79.84,5.0,68.59,1.104,-0.01,0.65,0.1,0.05,0.5
0.00685,79.23,5.0,73.17,1.104,-0.01,0.7,0.1,0.05,0.5
0.00673,79.8,4.998,77.86,1.103,-0.01,0.75,0.1,0.05,0.5
0.00497,61.8,4.921,-0.01,1.103,-0.01,0.8,0.1,0.05,0.5
0.00482,62.89,4.636,-0.01,1.103,-0.01,0.85,0.1,0.05,0.5
0.00467,62.98,4.382,-0.01,1.102,-0.01,0.9,0.1,0.05,0.5
0.00453,64.07,4.155,-0.01,1.102,-0.01,0.95,0.1,0.05,0.5
0.00441,64.18,3.95,-0.01,1.102,-0.01,1.0,0.1,0.05,0.5
0.01388,70.0,4.902,-0.01,1.098,-0.01,0.05,0.15,0.05,0.5
0.01637,65.16,4.997,66.19,1.1,-0.01,0.1,0.15,0.05,0.5
0.01248,60.53,5.001,46.16,1.101,-0.01,0.15,0.15,0.05,0.5
0.01188,52.91,5.0,38.93,1.101,-0.01,0.2,0.15,0.05,0.5
0.01134,60.27,4.999,35.93,1.103,-0.01,0.25,0.15,0.05,0.5
0.01204,62.59,5.0,34.3,1.097,-0.01,0.3,0.15,0.05,0.5
0.01212,64.77,5.0,34.87,1.099,-0.01,0.35,0.15,0.05,0.5
0.01118,65.03,5.0,36.22,1.101,-0.01,0.4,0.15,0.05,0.5
0.0098,66.26,5.0,37.77,1.097,-0.01,0.45,0.15,0.05,0.5
0.0092,67.81,5.0,39.99,1.101,-0.01,0.5,0.15,0.05,0.5
0.00984,70.55,5.0,42.53,1.098,-0.01,0.55,0.15,0.05,0.5
0.01103,73.25,5.0,44.79,1.097,-0.01,0.6,0.15,0.05,0.5
0.01075,75.88,5.0,47.52,1.097,-0.01,0.65,0.15,0.05,0.5
0.00963,77.67,5.0,50.38,1.102,-0.01,0.7,0.15,0.05,0.5
0.00985,79.65,5.0,53.39,1.101,-0.01,0.75,0.15,0.05,0.5
0.00994,80.0,5.0,56.38,1.1,-0.01,0.8,0.15,0.05,0.5
0.00945,79.67,5.0,59.39,1.099,-0.01,0.85,0.15,0.05,0.5
0.00955,79.45,5.0,62.45,1.099,-0.01,0.9,0.15,0.05,0.5
0.0093,79.31,5.0,65.46,1.098,-0.01,0.95,0.15,0.05,0.5
0.00922,79.25,5.0,68.55,1.097,-0.01,1.0,0.15,0.05,0.5
0.02024,71.69,4.899,-0.01,1.101,-0.01,0.05,0.2,0.05,0.5
0.01756,57.7,4.996,66.05,1.097,-0.01,0.1,0.2,0.05,0.5
0.02247,65.12,4.999,45.8,1.093,-0.01,0.15,0.2,0.05,0.5
0.01591,62.55,5.0,36.54,1.099,-0.01,0.2,0.2,0.05,0.5
0.01645,62.28,5.0,32.5,1.098,-0.01,0.25,0.2,0.05,0.5
0.02209,66.29,5.0,30.13,1.098,-0.01,0.3,0.2,0.05,0.5
0.01387,62.44,5.001,29.57,1.094,-0.01,0.35,0.2,0.05,0.5
0.01434,63.65,4.999,30.45,1.098,-0.01,0.4,0.2,0.05,0.5
0.01924,68.67,5.0,30.69,1.1,-0.01,0.45,0.2,0.05,0.5
0.01609,68.45,5.0,32.41,1.099,-0.01,0.5,0.2,0.05,0.5
0.01184,66.82,5.0,33.87,1.096,-0.01,0.55,0.2,0.05,0.5
0.01142,67.47,5.0,35.32,1.097,-0.01,0.6,0.2,0.05,0.5
0.01399,71.41,5.0,37.01,1.096,-0.01,0.65,0.2,0.05,0.5
0.01499,73.44,5.0,39.06,1.094,-0.01,0.7,0.2,0.05,0.5
0.01469,75.45,5.0,41.23,1.1,-0.01,0.75,0.2,0.05,0.5
0.01391,76.49,5.0,43.43,1.097,-0.01,0.8,0.2,0.05,0.5
0.01317,77.53,5.0,45.62,1.096,-0.01,0.85,0.2,0.05,0.5
0.01264,79.58,5.0,47.8,1.095,-0.01,0.9,0.2,0.05,0.5
0.01229,79.71,5.0,50.04,1.094,-0.01,0.95,0.2,0.05,0.5
0.01209,79.88,5.0,52.2,1.101,-0.01,1.0,0.2,0.05,0.5
0.02423,71.49,4.9,-0.01,1.1,-0.01,0.05,0.25,0.05,0.5
0.02201,63.16,4.996,66.59,1.1,-0.01,0.1,0.25,0.05,0.5
0.02281,64.69,4.999,45.3,1.096,-0.01,0.15,0.25,0.05,0.5
0.02454,65.2,4.999,35.84,1.098,-0.01,0.2,0.25,0.05,0.5
0.01978,63.66,5.0,30.25,1.102,-0.01,0.25,0.25,0.05,0.5
0.02545,66.34,5.0,27.67,1.096,-0.01,0.3,0.25,0.05,0.5
0.01865,64.82,5.0,26.66,1.096,-0.01,0.35,0.25,0.05,0.5
0.02238,66.55,5.0,27.0,1.094,-0.01,0.4,0.25,0.05,0.5
0.02047,67.18,5.0,26.68,1.099,-0.01,0.45,0.25,0.05,0.5
0.01641,65.74,5.0,27.59,1.097,-0.01,0.5,0.25,0.05,0.5
0.02271,69.64,5.0,29.11,1.095,-0.01,0.55,0.25,0.05,0.5
0.0143,64.42,5.0,29.54,1.101,-0.01,0.6,0.25,0.05,0.5
0.02061,71.09,5.0,30.7,1.095,-0.01,0.65,0.25,0.05,0.5
0.01719,71.59,5.0,32.41,1.092,-0.01,0.7,0.25,0.05,0.5
0.01291,69.62,5.0,34.03,1.095,-0.01,0.75,0.25,0.05,0.5
0.01893,74.44,5.0,35.75,1.096,-0.01,0.8,0.25,0.05,0.5
0.01602,75.04,5.0,37.51,1.098,-0.01,0.85,0.25,0.05,0.5
0.01223,74.28,5.0,39.09,1.099,-0.01,0.9,0.25,0.05,0.5
0.01608,77.08,5.0,40.88,1.1,-0.01,0.95,0.25,0.05,0.5
0.01655,79.71,5.0,42.45,1.096,-0.01,1.0,0.25,0.05,0.5
0.02661,71.27,4.908,-0.01,1.092,-0.01,0.05,0.3,0.05,0.5
0.02748,67.0,4.996,65.95,1.089,-0.01,0.1,0.3,0.05,0.5
0.02521,57.49,5.002,42.51,1.093,-0.01,0.15,0.3,0.05,0.5
0.03432,67.11,5.001,34.84,1.102,-0.01,0.2,0.3,0.05,0.5
0.02473,64.23,5.0,30.02,1.097,-0.01,0.25,0.3,0.05,0.5
0.02331,65.58,4.999,26.62,1.093,-0.01,0.3,0.3,0.05,0.5
0.03267,67.38,5.001,24.29,1.09,-0.01,0.35,0.3,0.05,0.5
0.02008,58.66,5.0,24.6,1.092,-0.01,0.4,0.3,0.05,0.5
0.03132,69.36,4.999,23.91,1.091,-0.01,0.45,0.3,0.05,0.5
0.01855,62.53,5.001,24.57,1.098,-0.01,0.5,0.3,0.05,0.5
0.02723,69.49,5.0,25.98,1.093,-0.01,0.55,0.3,0.05,0.5
0.01837,66.96,5.0,26.23,1.103,-0.01,0.6,0.3,0.05,0.5
0.02399,70.59,4.999,26.75,1.094,-0.01,0.65,0.3,0.05,0.5
0.01834,69.11,5.0,27.85,1.092,-0.01,0.7,0.3,0.05,0.5
0.02267,72.85,5.0,29.38,1.101,-0.01,0.75,0.3,0.05,0.5
0.0163,70.43,5.0,30.57,1.095,-0.01,0.8,0.3,0.05,0.5
0.02262,74.19,5.0,32.11,1.098,-0.01,0.85,0.3,0.05,0.5
0.01414,70.88,5.0,33.29,1.098,-0.01,0.9,0.3,0.05,0.5
0.02236,76.57,5.0,34.93,1.098,-0.01,0.95,0.3,0.05,0.5
0.01334,74.44,5.0,35.86,1.089,-0.01,1.0,0.3,0.05,0.5
0.02813,72.91,4.913,-0.01,1.087,-0.01,0.05,0.35,0.05,0.5
0.03622,67.06,4.994,68.57,1.088,-0.01,0.1,0.35,0.05,0.5
0.02955,60.85,4.999,44.05,1.093,-0.01,0.15,0.35,0.05,0.5
0.02812,65.59,5.001,33.05,1.097,-0.01,0.2,0.35,0.05,0.5
0.04127,68.2,5.002,29.19,1.094,-0.01,0.25,0.35,0.05,0.5
0.02563,63.27,4.999,25.39,1.103,-0.01,0.3,0.35,0.05,0.5
0.02664,66.73,5.0,23.37,1.097,-0.01,0.35,0.35,0.05,0.5
0.03861,69.45,5.001,23.41,1.096,-0.01,0.4,0.35,0.05,0.5
0.0226,62.37,4.999,22.46,1.099,-0.01,0.45,0.35,0.05,0.5
0.02926,69.17,5.0,22.95,1.093,-0.01,0.5,0.35,0.05,0.5
0.03256,69.81,5.0,23.47,1.097,-0.01,0.55,0.35,0.05,0.5
0.02018,63.34,4.999,23.3,1.099,-0.01,0.6,0.35,0.05,0.5
0.03251,71.72,5.0,23.73,1.09,-0.01,0.65,0.35,0.05,0.5
0.02008,68.03,5.0,24.69,1.094,-0.01,0.7,0.35,0.05,0.5
0.02407,71.61,4.999,26.09,1.094,-0.01,0.75,0.35,0.05,0.5
0.02712,73.16,5.0,26.98,1.09,-0.01,0.8,0.35,0.05,0.5
0.01708,70.41,5.0,28.16,1.103,-0.01,0.85,0.35,0.05,0.5
0.02835,75.38,5.0,29.43,1.092,-0.01,0.9,0.35,0.05,0.5
0.01608,69.98,5.0,30.27,1.088,-0.01,0.95,0.35,0.05,0.5
0.02678,77.49,5.0,31.8,1.094,-0.01,1.0,0.35,0.05,0.5
0.02905,73.08,4.899,-0.01,1.101,-0.01,0.05,0.4,0.05,0.5
0.04254,69.06,5.002,59.69,1.095,-0.01,0.1,0.4,0.05,0.5
0.03389,66.12,5.002,41.62,1.096,-0.01,0.15,0.4,0.05,0.5
0.03226,58.69,5.002,32.49,1.101,-0.01,0.2,0.4,0.05,0.5
0.04129,68.07,5.002,26.84,1.103,-0.01,0.25,0.4,0.05,0.5
0.04499,68.29,5.001,24.0,1.089,-0.01,0.3,0.4,0.05,0.5
0.02815,62.18,5.001,22.38,1.102,-0.01,0.35,0.4,0.05,0.5
0.02974,66.94,5.001,22.45,1.099,-0.01,0.4,0.4,0.05,0.5
0.04364,70.54,5.001,22.75,1.1,-0.01,0.45,0.4,0.05,0.5
0.02797,66.62,5.001,20.86,1.095,-0.01,0.5,0.4,0.05,0.5
0.02401,66.89,5.001,20.59,1.095,-0.01,0.55,0.4,0.05,0.5
0.03972,71.61,5.001,22.78,1.087,-0.01,0.6,0.4,0.05,0.5
0.02697,68.92,5.001,21.45,1.094,-0.01,0.65,0.4,0.05,0.5
0.02159,69.08,5.001,22.64,1.089,-0.01,0.7,0.4,0.05,0.5
0.03674,72.96,5.001,23.39,1.086,-0.01,0.75,0.4,0.05,0.5
0.02163,70.16,5.001,24.14,1.099,-0.01,0.8,0.4,0.05,0.5
0.02365,79.5,5.0,25.48,1.094,-0.01,0.85,0.4,0.05,0.5
0.03339,75.41,4.999,26.48,1.096,-0.01,0.9,0.4,0.05,0.5
0.01844,79.92,5.0,27.09,1.104,-0.01,0.95,0.4,0.05,0.5
0.02863,76.27,5.0,28.6,1.095,-0.01,1.0,0.4,0.05,0.5
0.02976,73.01,4.901,-0.01,1.099,-0.01,0.05,0.45,0.05,0.5
0.04718,69.09,5.002,59.9,1.099,-0.01,0.1,0.45,0.05,0.5
0.04291,68.16,4.999,43.51,1.095,-0.01,0.15,0.45,0.05,0.5
0.0364,60.81,4.998,33.8,1.102,-0.01,0.2,0.45,0.05,0.5
0.03472,65.51,4.998,29.04,1.089,-0.01,0.25,0.45,0.05,0.5
0.05116,69.28,5.001,25.76,1.101,-0.01,0.3,0.45,0.05,0.5
0.04657,68.39,5.0,23.43,1.088,-0.01,0.35,0.45,0.05,0.5
0.03047,60.01,5.0,21.08,1.097,-0.01,0.4,0.45,0.05,0.5
0.03252,68.03,4.999,19.89,1.1,-0.01,0.45,0.45,0.05,0.5
0.048,71.61,5.001,20.02,1.102,-0.01,0.5,0.45,0.05,0.5
0.03677,69.77,5.0,20.34,1.097,-0.01,0.55,0.45,0.05,0.5
0.02613,63.17,5.0,19.79,1.095,-0.01,0.6,0.45,0.05,0.5
0.0384,71.72,5.0,20.0,1.104,-0.01,0.65,0.45,0.05,0.5
0.04145,79.34,5.0,20.53,1.096,-0.01,0.7,0.45,0.05,0.5
0.02358,65.88,5.0,21.28,1.092,-0.01,0.75,0.45,0.05,0.5
0.02838,72.5,5.0,22.53,1.088,-0.01,0.8,0.45,0.05,0.5
0.04018,75.3,5.0,23.25,1.099,-0.01,0.85,0.45,0.05,0.5
0.02318,71.5,5.0,23.84,1.104,-0.01,0.9,0.45,0.05,0.5
0.02246,73.7,5.001,24.16,1.094,-0.01,0.95,0.45,0.05,0.5
0.03751,77.49,5.0,26.04,1.095,-0.01,1.0,0.45,0.05,0.5
0.03033,72.83,4.912,-0.01,1.088,-0.01,0.05,0.5,0.05,0.5
0.05065,68.98,4.999,62.32,1.094,-0.01,0.1,0.5,0.05,0.5
0.05216,69.09,4.998,43.87,1.088,-0.01,0.15,0.5,0.05,0.5
0.04053,65.97,4.999,33.36,1.083,-0.01,0.2,0.5,0.05,0.5
0.03866,60.69,4.999,28.07,1.084,-0.01,0.25,0.5,0.05,0.5
0.04604,68.83,4.999,25.8,1.087,-0.01,0.3,0.5,0.05,0.5
0.05781,70.25,4.999,23.25,1.086,-0.01,0.35,0.5,0.05,0.5
0.04674,68.48,4.999,20.56,1.088,-0.01,0.4,0.5,0.05,0.5
0.0326,57.84,4.999,19.52,1.101,-0.01,0.45,0.5,0.05,0.5
0.03526,69.0,4.999,19.43,1.089,-0.01,0.5,0.5,0.05,0.5
0.05184,71.6,4.999,19.8,1.092,-0.01,0.55,0.5,0.05,0.5
0.04447,70.75,4.999,20.08,1.083,-0.01,0.6,0.5,0.05,0.5
0.0281,62.4,4.999,18.98,1.094,-0.01,0.65,0.5,0.05,0.5
0.032,71.53,5.0,19.5,1.104,-0.01,0.7,0.5,0.05,0.5
0.0474,73.98,5.0,19.98,1.093,-0.01,0.75,0.5,0.05,0.5
0.03727,73.14,5.0,20.49,1.09,-0.01,0.8,0.5,0.05,0.5
0.02464,64.45,5.0,21.23,1.102,-0.01,0.85,0.5,0.05,0.5
0.03566,74.86,5.0,22.52,1.086,-0.01,0.9,0.5,0.05,0.5
0.04304,76.6,5.0,23.14,1.104,-0.01,0.95,0.5,0.05,0.5
0.02446,72.62,5.0,23.5,1.1,-0.01,1.0,0.5,0.05,0.5
0.03061,73.02,4.897,-0.01,1.103,-0.01,0.05,0.55,0.05,0.5
0.05327,68.91,4.993,69.92,1.091,-0.01,0.1,0.55,0.05,0.5
0.05959,70.12,5.004,40.56,1.095,-0.01,0.15,0.55,0.05,0.5
0.04725,68.23,4.997,35.38,1.093,-0.01,0.2,0.55,0.05,0.5
0.0426,59.64,4.999,27.5,1.1,-0.01,0.25,0.55,0.05,0.5
0.04072,66.64,5.0,23.12,1.097,-0.01,0.3,0.55,0.05,0.5
0.05761,70.03,5.001,22.84,1.082,-0.01,0.35,0.55,0.05,0.5
0.06193,71.38,5.001,20.12,1.089,-0.01,0.4,0.55,0.05,0.5
0.0459,69.69,4.999,20.3,1.106,-0.01,0.45,0.55,0.05,0.5
0.03455,55.93,4.999,18.42,1.086,-0.01,0.5,0.55,0.05,0.5
0.03784,70.28,5.0,19.14,1.104,-0.01,0.55,0.55,0.05,0.5
0.05531,72.52,5.0,19.57,1.081,-0.01,0.6,0.55,0.05,0.5
0.05109,72.84,5.0,19.82,1.087,-0.01,0.65,0.55,0.05,0.5
0.02993,67.86,5.001,17.86,1.094,-0.01,0.7,0.55,0.05,0.5
0.02895,79.65,5.0,19.02,1.101,-0.01,0.75,0.55,0.05,0.5
0.04661,75.0,5.0,19.57,1.101,-0.01,0.8,0.55,0.05,0.5
0.04932,75.34,5.0,20.0,1.097,-0.01,0.85,0.55,0.05,0.5
0.02976,72.17,5.0,20.39,1.083,-0.01,0.9,0.55,0.05,0.5
0.02557,71.36,5.0,20.56,1.098,-0.01,0.95,0.55,0.05,0.5
0.04204,77.25,5.001,22.45,1.093,-0.01,1.0,0.55,0.05,0.5
0.03095,72.87,4.905,-0.01,1.095,-0.01,0.05,0.6,0.05,0.5
0.05537,68.91,5.0,61.15,1.094,-0.01,0.1,0.6,0.05,0.5
0.06555,70.14,5.001,41.31,1.094,-0.01,0.15,0.6,0.05,0.5
0.05835,69.14,5.002,32.58,1.082,-0.01,0.2,0.6,0.05,0.5
0.04653,65.12,4.998,27.46,1.088,-0.01,0.25,0.6,0.05,0.5
0.04448,61.98,5.0,23.02,1.096,-0.01,0.3,0.6,0.05,0.5
0.04968,68.81,5.001,22.41,1.082,-0.01,0.35,0.6,0.05,0.5
0.06619,71.28,4.999,22.91,1.088,-0.01,0.4,0.6,0.05,0.5
0.06422,71.44,5.0,20.02,1.081,-0.01,0.45,0.6,0.05,0.5
0.04445,68.63,5.001,17.28,1.09,-0.01,0.5,0.6,0.05,0.5
0.03636,58.44,4.999,17.71,1.086,-0.01,0.55,0.6,0.05,0.5
0.04029,71.21,5.0,18.93,1.093,-0.01,0.6,0.6,0.05,0.5
0.05844,73.83,5.001,19.41,1.099,-0.01,0.65,0.6,0.05,0.5
0.05698,73.95,4.999,19.81,1.088,-0.01,0.7,0.6,0.05,0.5
0.03675,71.06,5.0,17.37,1.094,-0.01,0.75,0.6,0.05,0.5
0.03063,65.59,5.0,18.21,1.086,-0.01,0.8,0.6,0.05,0.5
0.04116,72.7,5.001,19.17,1.092,-0.01,0.85,0.6,0.05,0.5
0.05449,77.22,5.0,22.59,1.094,-0.01,0.9,0.6,0.05,0.5
0.04609,76.56,5.0,20.0,1.098,-0.01,0.95,0.6,0.05,0.5
0.02715,69.31,5.001,20.1,1.093,-0.01,1.0,0.6,0.05,0.5
0.03117,72.88,4.903,-0.01,1.097,-0.01,0.05,0.65,0.05,0.5
0.05697,68.8,4.997,64.5,1.08,-0.01,0.1,0.65,0.05,0.5
0.07039,71.17,4.996,45.58,1.101,-0.01,0.15,0.65,0.05,0.5
0.06789,70.25,4.996,35.44,1.09,-0.01,0.2,0.65,0.05,0.5
0.05045,68.37,4.998,27.22,1.097,-0.01,0.25,0.65,0.05,0.5
0.04824,57.51,4.999,23.39,1.097,-0.01,0.3,0.65,0.05,0.5
0.04619,67.47,5.0,19.82,1.082,-0.01,0.35,0.65,0.05,0.5
0.0621,71.33,5.001,19.6,1.102,-0.01,0.4,0.65,0.05,0.5
0.07238,72.71,5.001,19.73,1.107,-0.01,0.45,0.65,0.05,0.5
0.06503,71.84,5.002,19.77,1.102,-0.01,0.5,0.65,0.05,0.5
0.04273,68.67,4.999,17.12,1.08,-0.01,0.55,0.65,0.05,0.5
0.03803,62.13,4.999,16.36,1.104,-0.01,0.6,0.65,0.05,0.5
0.04265,71.34,5.0,18.77,1.091,-0.01,0.65,0.65,0.05,0.5
0.0613,74.86,5.0,20.82,1.098,-0.01,0.7,0.65,0.05,0.5
0.06209,75.17,5.0,21.18,1.097,-0.01,0.75,0.65,0.05,0.5
0.04492,73.28,5.001,16.97,1.098,-0.01,0.8,0.65,0.05,0.5
0.03221,61.65,5.001,17.39,1.091,-0.01,0.85,0.65,0.05,0.5
0.03325,73.5,4.999,18.8,1.08,-0.01,0.9,0.65,0.05,0.5
0.0541,77.09,4.999,22.42,1.083,-0.01,0.95,0.65,0.05,0.5
0.05645,78.31,5.0,22.74,1.079,-0.01,1.0,0.65,0.05,0.5
0.03137,72.82,4.906,-0.01,1.094,-0.01,0.05,0.7,0.05,0.5
0.05831,70.73,4.999,62.29,1.091,-0.01,0.1,0.7,0.05,0.5
0.07437,71.22,4.998,43.57,1.103,-0.01,0.15,0.7,0.05,0.5
0.07596,71.08,4.996,35.41,1.08,-0.01,0.2,0.7,0.05,0.5
0.06266,69.2,4.997,29.61,1.079,-0.01,0.25,0.7,0.05,0.5
0.05198,65.19,4.999,23.78,1.092,-0.01,0.3,0.7,0.05,0.5
0.04979,63.02,5.0,19.85,1.086,-0.01,0.35,0.7,0.05,0.5
0.0524,69.94,5.001,19.37,1.09,-0.01,0.4,0.7,0.05,0.5
0.07202,72.58,5.001,19.51,1.105,-0.01,0.45,0.7,0.05,0.5
0.07658,72.53,5.001,21.27,1.082,-0.01,0.5,0.7,0.05,0.5
0.06478,72.03,4.999,19.95,1.108,-0.01,0.55,0.7,0.05,0.5
0.041,68.69,4.999,16.87,1.088,-0.01,0.6,0.7,0.05,0.5
0.03958,64.3,4.999,15.77,1.085,-0.01,0.65,0.7,0.05,0.5
0.04492,72.34,5.0,18.68,1.083,-0.01,0.7,0.7,0.05,0.5
0.06398,74.9,5.0,22.46,1.092,-0.01,0.75,0.7,0.05,0.5
0.06666,76.27,5.0,22.75,1.098,-0.01,0.8,0.7,0.05,0.5
0.05234,75.26,5.0,16.73,1.091,-0.01,0.85,0.7,0.05,0.5
0.03368,69.11,5.001,16.98,1.095,-0.01,0.9,0.7,0.05,0.5
0.03269,79.96,5.0,16.89,1.082,-0.01,0.95,0.7,0.05,0.5
0.04968,78.31,4.999,19.09,1.103,-0.01,1.0,0.7,0.05,0.5
0.03142,73.0,4.892,-0.01,1.109,-0.01,0.05,0.75,0.05,0.5
0.0594,70.71,5.001,60.16,1.091,-0.01,0.1,0.75,0.05,0.5
0.07773,71.0,5.006,39.94,1.089,-0.01,0.15,0.75,0.05,0.5
0.08271,71.5,4.997,35.2,1.111,-0.01,0.2,0.75,0.05,0.5
0.07353,70.36,5.002,26.74,1.09,-0.01,0.25,0.75,0.05,0.5
0.05573,68.33,5.0,23.71,1.089,-0.01,0.3,0.75,0.05,0.5
0.05337,55.28,4.998,20.84,1.095,-0.01,0.35,0.75,0.05,0.5
0.0512,67.9,5.002,19.04,1.108,-0.01,0.4,0.75,0.05,0.5
0.06534,72.42,5.0,19.34,1.11,-0.01,0.45,0.75,0.05,0.5
0.07966,73.62,4.999,22.84,1.098,-0.01,0.5,0.75,0.05,0.5
0.07915,73.86,5.001,21.37,1.098,-0.01,0.55,0.75,0.05,0.5
0.06404,72.75,5.0,19.78,1.085,-0.01,0.6,0.75,0.05,0.5
0.04244,68.56,4.999,16.59,1.079,-0.01,0.65,0.75,0.05,0.5
0.04102,66.48,5.0,15.35,1.082,-0.01,0.7,0.75,0.05,0.5
0.04709,73.54,5.0,18.68,1.092,-0.01,0.75,0.75,0.05,0.5
0.06635,76.1,5.001,24.07,1.103,-0.01,0.8,0.75,0.05,0.5
0.07079,77.01,5.0,24.36,1.078,-0.01,0.85,0.75,0.05,0.5
0.05909,76.44,4.999,19.71,1.093,-0.01,0.9,0.75,0.05,0.5
0.03519,72.21,5.001,16.71,1.08,-0.01,0.95,0.75,0.05,0.5
0.03406,68.97,5.0,16.62,1.081,-0.01,1.0,0.75,0.05,0.5
0.03164,72.78,4.907,-0.01,1.094,-0.01,0.05,0.8,0.05,0.5
0.06023,70.84,4.996,64.77,1.1,-0.01,0.1,0.8,0.05,0.5
0.0804,70.82,4.994,48.22,1.078,-0.01,0.15,0.8,0.05,0.5
0.08852,72.45,5.001,32.47,1.109,-0.01,0.2,0.8,0.05,0.5
0.08319,71.33,4.999,29.46,1.088,-0.01,0.25,0.8,0.05,0.5
0.06557,69.33,4.999,23.72,1.076,-0.01,0.3,0.8,0.05,0.5
0.05696,65.02,5.0,20.54,1.077,-0.01,0.35,0.8,0.05,0.5
0.05464,64.29,5.0,18.83,1.1,-0.01,0.4,0.8,0.05,0.5
0.05451,70.98,5.0,19.09,1.094,-0.01,0.45,0.8,0.05,0.5
0.07616,73.3,5.0,22.5,1.088,-0.01,0.5,0.8,0.05,0.5
0.08542,74.76,5.0,22.87,1.1,-0.01,0.55,0.8,0.05,0.5
0.0805,74.19,5.0,23.04,1.111,-0.01,0.6,0.8,0.05,0.5
0.06259,73.04,5.0,16.59,1.097,-0.01,0.65,0.8,0.05,0.5
0.04378,67.87,4.999,14.37,1.079,-0.01,0.7,0.8,0.05,0.5
0.04236,67.8,4.999,15.21,1.088,-0.01,0.75,0.8,0.05,0.5
0.0492,74.89,5.0,18.73,1.109,-0.01,0.8,0.8,0.05,0.5
0.0688,76.91,4.999,22.57,1.083,-0.01,0.85,0.8,0.05,0.5
0.07446,78.46,4.999,25.95,1.1,-0.01,0.9,0.8,0.05,0.5
0.06511,77.63,4.999,22.96,1.099,-0.01,0.95,0.8,0.05,0.5
0.04347,75.78,4.999,16.63,1.108,-0.01,1.0,0.8,0.05,0.5
0.03186,72.53,4.924,-0.01,1.077,-0.01,0.05,0.85,0.05,0.5
0.0609,71.0,4.992,71.92,1.112,-0.01,0.1,0.85,0.05,0.5
0.08269,72.25,4.997,45.46,1.113,-0.01,0.15,0.85,0.05,0.5
0.09349,72.31,4.996,37.64,1.099,-0.01,0.2,0.85,0.05,0.5
0.0916,72.64,4.997,32.16,1.111,-0.01,0.25,0.85,0.05,0.5
0.07753,70.25,5.0,23.64,1.074,-0.01,0.3,0.85,0.05,0.5
0.06054,68.34,5.003,20.3,1.088,-0.01,0.35,0.85,0.05,0.5
0.05808,51.9,4.999,18.32,1.073,-0.01,0.4,0.85,0.05,0.5
0.0558,68.66,5.0,18.55,1.085,-0.01,0.45,0.85,0.05,0.5
0.06788,72.57,5.002,20.75,1.113,-0.01,0.5,0.85,0.05,0.5
0.08492,74.31,4.999,25.69,1.079,-0.01,0.55,0.85,0.05,0.5
